City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Constitucion,CL,61.02,-35.3333,-72.4167,few clouds,
1,Durango,MX,64.72,24.8333,-104.8333,overcast clouds,
2,Oil City,US,27.99,41.4339,-79.7064,overcast clouds,
4,Englewood,US,46.45,39.6478,-104.9878,few clouds,
6,Loveland,US,48.43,40.3978,-105.075,clear sky,
7,Choctaw,US,45.12,35.4976,-97.2689,clear sky,
8,Marsh Harbour,BS,75.18,26.5412,-77.0636,few clouds,
9,Hastings,GB,47.52,50.8552,0.5729,clear sky,
10,Kingman,US,63.12,35.1894,-114.053,clear sky,
11,Matamoros,MX,63.1,25.5333,-103.25,light rain,
12,Athens,GR,49.37,37.9795,23.7162,few clouds,
13,Caldwell,US,56.55,43.6629,-116.6874,clear sky,
14,Leon Valley,US,48.04,29.4952,-98.6186,light rain,
15,Green River,US,36.0,41.5286,-109.4662,clear sky,
16,Easton,US,44.29,40.6884,-75.2207,few clouds,
17,Havelock,US,55.36,34.8791,-76.9013,broken clouds,
18,Pascagoula,US,55.42,30.3658,-88.5561,broken clouds,
19,York,US,44.19,40.1254,-77.0,overcast clouds,
20,Houma,US,53.01,29.5958,-90.7195,overcast clouds,
21,Woodward,US,47.43,36.4337,-99.3904,clear sky,
22,West Memphis,US,45.28,35.1465,-90.1845,few clouds,
23,Worland,US,45.05,44.0169,-107.9554,clear sky,
24,Rapid Valley,US,38.77,44.0625,-103.1463,clear sky,
25,Rexburg,US,33.42,43.826,-111.7897,clear sky,
27,Cedar City,US,47.39,37.6775,-113.0619,clear sky,
28,Danville,US,52.18,36.586,-79.395,clear sky,
31,Harrisburg,US,45.14,40.2737,-76.8844,overcast clouds,
32,High Rock,BS,77.02,26.6208,-78.2833,scattered clouds,
33,Effingham,US,58.95,32.3669,-81.3332,overcast clouds,
34,Seminole,US,73.76,28.7086,-81.2081,overcast clouds,
35,Carroll,US,45.95,39.5501,-77.0164,clear sky,
36,North Myrtle Beach,US,60.13,33.816,-78.68,broken clouds,
37,Twentynine Palms,US,70.97,34.1356,-116.0542,clear sky,
38,Green Valley,US,70.57,31.8543,-110.9937,broken clouds,
39,Benito Juarez,MX,69.01,19.385,-99.165,broken clouds,
40,Texarkana,US,55.62,33.4251,-94.0477,clear sky,
41,Alice Town,BS,76.6,25.7167,-79.3,few clouds,
42,Lebanon,US,43.02,36.2081,-86.2911,clear sky,
43,Fallon,US,58.91,39.4735,-118.7774,broken clouds,
44,Springfield,US,31.15,37.2153,-93.2982,scattered clouds,
45,Gillette,US,41.05,44.2911,-105.5022,clear sky,
47,Hattiesburg,US,51.73,31.3271,-89.2903,scattered clouds,
49,Blytheville,US,43.02,35.9273,-89.919,broken clouds,
50,Tallahassee,US,50.32,30.4383,-84.2807,overcast clouds,
51,London,GB,49.75,51.5085,-0.1257,few clouds,
52,Lexington,US,33.8,37.9887,-84.4777,few clouds,
54,Front Royal,US,45.01,38.9182,-78.1944,clear sky,
55,Raymondville,US,57.24,26.4815,-97.7831,overcast clouds,
56,Sahuaripa,MX,75.79,29.05,-109.2333,broken clouds,
57,Callaway,US,51.98,30.153,-85.5699,overcast clouds,
58,Pierre,US,27.52,44.3683,-100.351,clear sky,
59,Durant,US,50.36,33.994,-96.3708,clear sky,
61,Mount Vernon,US,48.94,40.9126,-73.8371,broken clouds,
62,Glenwood Springs,US,43.72,39.5505,-107.3248,clear sky,
64,Cockburn Town,TC,75.97,21.4612,-71.1419,broken clouds,
66,Morristown,US,43.5,36.214,-83.2949,scattered clouds,
67,Lawrenceburg,US,34.38,38.0373,-84.8966,clear sky,
68,La Crosse,US,27.16,43.8014,-91.2396,clear sky,
70,Hays,US,52.16,30.0502,-98.0336,overcast clouds,
71,Tupelo,US,50.29,34.2576,-88.7034,clear sky,
72,Northport,US,51.62,33.229,-87.5772,clear sky,
73,China,MX,56.7,25.7,-99.2333,broken clouds,
74,Clovis,US,70.03,36.8252,-119.7029,overcast clouds,
75,Liberal,US,47.44,37.0431,-100.921,clear sky,
76,Starkville,US,51.46,33.4504,-88.8184,clear sky,
77,Oxford,GB,49.37,51.7522,-1.256,moderate rain,
78,Pecos,US,54.43,31.4229,-103.4932,overcast clouds,
80,Mandeville,JM,66.56,18.0417,-77.5071,scattered clouds,
81,Rupert,US,46.35,42.6191,-113.6772,clear sky,
82,Yavaros,MX,75.45,26.7,-109.5167,light rain,
83,Sanford,US,73.69,28.8006,-81.2731,overcast clouds,
84,Lancaster,US,44.08,40.2504,-76.2499,broken clouds,
85,Peterborough,GB,49.87,52.5736,-0.2478,overcast clouds,
86,Jackson,US,63.37,42.4165,-122.8345,clear sky,
89,Pitiquito,MX,75.52,30.7,-112.0833,scattered clouds,
93,Rancho Palos Verdes,US,75.97,33.7445,-118.387,clear sky,
95,San Quintin,MX,64.26,30.4833,-115.95,clear sky,
96,Colonial Park,US,44.51,40.3006,-76.8097,overcast clouds,
97,Clarksville,US,40.08,36.5298,-87.3595,overcast clouds,
98,Union City,US,68.49,37.5958,-122.0192,clear sky,
99,Encinitas,US,77.5,33.037,-117.292,clear sky,
100,Flagstaff,US,48.6,35.1981,-111.6513,clear sky,
101,Milford Mill,US,48.65,39.3479,-76.77,broken clouds,
103,Socorro,US,53.46,31.6546,-106.3033,broken clouds,
104,West Des Moines,US,27.05,41.572,-93.7453,broken clouds,
105,West Wendover,US,43.81,40.7391,-114.0733,clear sky,
106,Poquoson,US,51.98,37.1224,-76.3458,clear sky,
107,Show Low,US,48.49,34.2542,-110.0298,few clouds,
109,Pocatello,US,44.51,42.8713,-112.4455,clear sky,
110,Saint Simons,US,59.04,31.1352,-81.3901,light rain,
112,Winnemucca,US,55.45,40.973,-117.7357,clear sky,
113,Chubbuck,US,44.49,42.9208,-112.4661,clear sky,
114,Brownsville,US,55.9,25.9018,-97.4975,overcast clouds,
115,Albany,US,38.05,42.6001,-73.9662,overcast clouds,
117,Farmington,US,49.77,36.7281,-108.2187,few clouds,
118,Sand Springs,US,43.38,36.1398,-96.1089,clear sky,
119,Elk City,US,48.42,35.412,-99.4043,scattered clouds,
120,Redlands,US,74.16,34.0556,-117.1825,broken clouds,
121,Ammon,US,33.94,43.4696,-111.9666,clear sky,
122,Pahrump,US,62.94,36.2083,-115.9839,few clouds,
123,Hondo,JP,53.96,32.45,130.2,few clouds,
124,Martinez,US,67.48,38.0194,-122.1341,clear sky,
125,Oneonta,US,32.81,42.4529,-75.0638,overcast clouds,
126,Lakeway,US,54.09,30.3638,-97.9796,clear sky,
127,The Woodlands,US,54.46,30.158,-95.4894,overcast clouds,
128,Howard,US,49.21,39.2504,-76.933,broken clouds,
130,Monroe,US,31.62,43.1501,-77.6831,overcast clouds,
131,Venice,US,76.98,27.0998,-82.4543,clear sky,
133,Clifton,US,48.74,40.8584,-74.1638,clear sky,
134,Waycross,US,53.85,31.2136,-82.354,moderate rain,
136,Hot Springs,US,48.51,34.5037,-93.0552,clear sky,
137,Sabinas Hidalgo,MX,51.17,26.5,-100.1667,overcast clouds,
138,Hurricane,US,60.33,37.1753,-113.2899,scattered clouds,
139,Marshall,US,48.51,34.3834,-86.3333,clear sky,
140,Guerrero Negro,MX,70.81,27.9769,-114.0611,clear sky,
141,Port Arthur,CN,46.62,38.8,121.2667,broken clouds,
143,Oneida,US,34.02,43.2001,-75.4663,light snow,
144,Dillon,US,60.78,34.4166,-79.3712,overcast clouds,
145,Cortez,US,45.36,37.3489,-108.5859,scattered clouds,
146,Washington,US,54.34,47.5001,-120.5015,broken clouds,
147,Baker City,US,46.11,44.7749,-117.8344,clear sky,
148,Camalu,MX,64.56,30.85,-116.0667,few clouds,
150,Casper,US,39.79,42.8666,-106.3131,clear sky,
153,Greenwood,US,53.96,34.1668,-82.1165,clear sky,
155,Maneadero,MX,64.09,31.7167,-116.5667,scattered clouds,
156,Kearney,US,30.76,40.6995,-99.0815,clear sky,
159,Puerto Penasco,MX,70.92,31.3167,-113.5333,clear sky,
160,Coronado,US,76.51,32.6859,-117.1831,scattered clouds,
161,Nacogdoches,US,53.46,31.6002,-94.6335,clear sky,
163,Ormond Beach,US,67.28,29.2858,-81.0559,overcast clouds,
164,Winslow,US,55.58,35.0242,-110.6974,clear sky,
165,Corning,US,34.21,42.1428,-77.0547,light snow,
166,Saint Peters,US,27.45,38.8003,-90.6265,overcast clouds,
167,Wylie,US,53.64,33.0151,-96.5389,clear sky,
168,Lake Havasu City,US,74.23,34.4839,-114.3224,clear sky,
169,Taft,IR,53.55,31.7471,54.2088,clear sky,
170,Dunmore Town,BS,75.9,25.5,-76.65,few clouds,
171,Sulphur Springs,US,49.95,33.1385,-95.6011,clear sky,
172,Saint George,US,62.26,37.1041,-113.5841,clear sky,
173,Pampa,US,49.15,35.5362,-100.9599,clear sky,
175,Bradford,GB,45.48,53.7939,-1.7521,scattered clouds,
176,Gallup,US,44.44,35.5281,-108.7426,clear sky,
177,Lumberton,US,57.51,34.6182,-79.0086,clear sky,
178,South Lake Tahoe,US,50.25,38.9332,-119.9844,clear sky,
179,Warrensburg,US,28.22,38.7628,-93.7361,overcast clouds,
180,Altus,US,53.67,34.6381,-99.334,clear sky,
181,San Benito,US,56.93,36.6166,-121.0844,overcast clouds,
182,Santa Rosalia,MX,66.2,27.3167,-112.2833,scattered clouds,
183,Nacozari,MX,72.03,25.3366,-108.2574,light rain,
184,Kuna,US,54.84,43.4918,-116.4201,clear sky,
186,Wilmington,US,54.95,34.2257,-77.9447,overcast clouds,
187,Cody,US,43.2,44.5263,-109.0565,clear sky,
188,Eunice,US,52.0,30.4944,-92.4176,overcast clouds,
190,Grants,US,41.23,35.1473,-107.8514,overcast clouds,
191,Valle De Allende,MX,45.45,26.9333,-105.4,overcast clouds,
192,Vernon,CA,55.92,50.2581,-119.2691,broken clouds,
193,Rosarito,MX,74.62,32.3333,-117.0333,scattered clouds,
194,Greeneville,US,41.88,36.1632,-82.831,overcast clouds,
195,San Luis,AR,76.28,-33.295,-66.3356,scattered clouds,
196,Kincardine,GB,45.19,56.0667,-3.7167,overcast clouds,
197,Belle Fourche,US,40.51,44.6714,-103.8522,clear sky,
198,Olean,US,27.28,42.0776,-78.4297,overcast clouds,
200,Santa Catarina De Tepehuanes,MX,58.46,25.35,-105.7333,broken clouds,
201,Maryville,US,46.6,35.7565,-83.9705,scattered clouds,
202,Warrington,GB,45.86,53.3925,-2.5802,scattered clouds,
203,Greenville,US,55.56,35.6127,-77.3663,clear sky,
204,Twin Falls,US,46.92,42.3505,-114.6445,clear sky,
205,Tucumcari,US,46.94,35.1717,-103.725,scattered clouds,
207,Newark,US,49.24,40.7357,-74.1724,clear sky,
208,Johnstown,US,33.31,40.3267,-78.922,overcast clouds,
209,Beeville,US,46.98,28.4008,-97.7483,overcast clouds,
211,Hailey,US,38.89,43.5196,-114.3153,overcast clouds,
213,Rio Muerto,MX,71.06,27.4167,-110.2333,overcast clouds,
214,Pueblo,US,48.15,38.2545,-104.6091,clear sky,
215,Port Lavaca,US,52.3,28.615,-96.6261,overcast clouds,
216,Bartlesville,US,40.95,36.7473,-95.9808,clear sky,
217,Watertown,US,48.06,42.3709,-71.1828,clear sky,
218,Ledyard,US,45.52,41.4398,-72.0142,clear sky,
220,Santa Maria Del Oro,MX,53.53,25.9333,-105.3667,moderate rain,
221,Dodge City,US,39.94,37.7528,-100.0171,clear sky,
222,Mapimi,MX,60.85,25.8167,-103.85,light rain,
223,Hope,US,55.45,33.6671,-93.5916,overcast clouds,
224,Clarksburg,US,36.05,39.2807,-80.3445,overcast clouds,
226,Shawnee,US,31.86,39.05,-95.7669,overcast clouds,
227,Mount Pleasant,US,59.05,32.7941,-79.8626,overcast clouds,
228,Alamosa,US,35.58,37.4695,-105.87,clear sky,
229,Esqueda,MX,59.43,30.7167,-109.5833,broken clouds,
230,Punta Gorda,US,77.18,26.9298,-82.0454,overcast clouds,
231,Chanute,US,35.71,37.6792,-95.4572,overcast clouds,
232,Rapid City,US,38.5,44.0805,-103.231,clear sky,
233,Tooele,US,47.32,40.5308,-112.2983,clear sky,
234,Belen,TR,42.94,36.4891,36.2233,broken clouds,
235,Fayetteville,US,57.72,35.0527,-78.8784,clear sky,
237,Boulder,US,40.51,40.0833,-105.3505,clear sky,
238,Florence,IT,54.23,43.7667,11.25,broken clouds,
239,Dawson,US,51.22,31.7735,-84.4466,overcast clouds,
240,Stephenville,US,54.14,32.2207,-98.2023,clear sky,
241,Newton,US,47.75,42.337,-71.2092,clear sky,
242,Emmett,US,56.57,43.8735,-116.4993,broken clouds,
243,Adelanto,US,66.2,34.5828,-117.4092,scattered clouds,
244,Lufkin,US,53.73,31.3382,-94.7291,overcast clouds,
245,Del Rio,US,42.91,29.3627,-100.8968,overcast clouds,
246,Lock Haven,US,39.09,41.137,-77.4469,overcast clouds,
247,Loreto,MX,72.12,22.2667,-101.9667,few clouds,
249,Victoria,HK,69.85,22.2855,114.1577,overcast clouds,
250,Summerville,US,58.86,33.0185,-80.1757,scattered clouds,
252,Covington,US,28.9,39.0837,-84.5086,broken clouds,
253,Junction City,US,33.66,39.0286,-96.8314,broken clouds,
254,Morgan City,US,51.8,29.6994,-91.2068,overcast clouds,
255,Opelousas,US,51.69,30.5335,-92.0815,clear sky,
256,Azle,US,53.56,32.8951,-97.5459,clear sky,
257,Onalaska,US,27.07,43.8844,-91.2351,clear sky,
258,Freeport,US,50.36,40.6576,-73.5832,broken clouds,
261,Ensenada,MX,63.95,31.8667,-116.6167,scattered clouds,
262,Owasso,US,43.72,36.2695,-95.8547,few clouds,
263,Andros Town,BS,76.96,24.7,-77.7667,scattered clouds,
264,Snyder,US,52.14,32.7179,-100.9176,clear sky,
265,Jacksonville,US,54.03,30.3322,-81.6556,overcast clouds,
267,Cananea,MX,55.2,30.95,-110.3,broken clouds,
269,Elwood,AU,66.33,-37.8817,144.983,overcast clouds,
270,Bakersfield,US,73.98,35.3733,-119.0187,clear sky,
271,Lovington,US,49.05,32.944,-103.3485,overcast clouds,
272,Bedford,GB,49.71,52.1346,-0.4663,broken clouds,
273,Apple Valley,US,66.9,34.5008,-117.1859,broken clouds,
277,Ruston,US,53.42,32.5232,-92.6379,overcast clouds,
278,West Plains,US,32.92,36.7281,-91.8524,clear sky,
279,Camargo,MX,40.35,27.6667,-105.1667,overcast clouds,
280,Orange Cove,US,69.8,36.6244,-119.3137,clear sky,
281,Sterling,US,50.0,39.0062,-77.4286,few clouds,
282,Livingston,GB,43.48,55.9029,-3.5226,scattered clouds,
284,Atlantic Beach,US,54.05,30.3344,-81.3987,overcast clouds,
285,Dumas,US,46.62,35.8656,-101.9732,clear sky,
287,Jimenez,MX,38.14,28.3333,-105.4,light rain,
288,Lamar,US,48.36,33.6668,-95.5836,clear sky,
289,Fort Morgan,US,41.65,40.2503,-103.8,clear sky,
290,Bernalillo,US,50.32,35.05,-106.6673,broken clouds,
291,Republic,US,31.12,37.12,-93.4802,scattered clouds,
292,North Las Vegas,US,66.18,36.1989,-115.1175,clear sky,
293,Fort Carson,US,43.45,38.7375,-104.7889,overcast clouds,
294,Kingsville,US,50.18,27.5159,-97.8561,overcast clouds,
295,Okmulgee,US,43.09,35.6234,-95.9605,clear sky,
296,Price,US,44.11,39.5994,-110.8107,clear sky,
297,Lewisville,US,53.94,33.0462,-96.9942,clear sky,
298,Casa Grande,US,73.4,32.8795,-111.7573,clear sky,
299,Guadalupe Y Calvo,MX,44.76,26.1,-106.9667,light rain,
300,Nazareno,MX,61.5,25.3833,-103.4167,light rain,
301,Topeka,US,31.78,39.0483,-95.678,overcast clouds,
302,San Antonio,US,49.55,29.4241,-98.4936,light rain,
303,Guerrero,MX,77.29,17.6667,-100.0,scattered clouds,
304,Parsons,US,36.86,37.3403,-95.2611,scattered clouds,
305,Highland Springs,US,51.39,37.546,-77.3278,clear sky,
306,Puerto Palomas,MX,51.76,31.7667,-107.6167,broken clouds,
307,La Marque,US,55.36,29.3686,-94.9713,overcast clouds,
308,Bustamante,MX,48.45,26.5333,-100.5,overcast clouds,
310,Albertville,US,45.64,34.2676,-86.2089,clear sky,
311,Salina,US,35.73,38.8403,-97.6114,scattered clouds,
313,Christiansburg,US,41.47,37.1298,-80.4089,scattered clouds,
314,Plainview,US,49.86,40.7765,-73.4673,broken clouds,
315,Altar,MX,73.83,30.7,-111.8167,few clouds,
316,Staunton,US,42.89,38.1496,-79.0717,clear sky,
318,Wilmington Island,US,59.09,32.0036,-80.9737,broken clouds,
319,Potam,MX,70.36,27.6,-110.3833,overcast clouds,
321,Taos,US,34.2,36.4072,-105.5731,snow,
322,San Felipe,VE,68.9,10.3399,-68.7425,few clouds,
323,Pineville,US,51.73,31.3224,-92.4343,clear sky,
324,Madison,US,47.62,34.7334,-86.5667,few clouds,
325,Dunn,US,27.16,44.95,-91.8835,clear sky,
326,North Platte,US,33.69,41.1239,-100.7654,clear sky,
327,Palestine,PS,49.46,31.9216,35.2033,broken clouds,
328,Altamont,US,53.44,42.2068,-121.7372,clear sky,
329,Fort Smith,US,44.64,35.3859,-94.3986,clear sky,
330,Bellevue,US,69.15,47.6104,-122.2007,clear sky,
332,Truth Or Consequences,US,48.9,33.1284,-107.2528,overcast clouds,
333,San Buenaventura,MX,52.72,27.0833,-101.5333,broken clouds,
334,Midland,US,53.8,31.9974,-102.0779,clear sky,
335,Grand Junction,US,49.08,39.0639,-108.5507,clear sky,
336,Minas De Barroteran,MX,41.99,27.6333,-101.2833,overcast clouds,
337,Cedartown,US,48.38,34.0537,-85.255,broken clouds,
338,Hutchinson,US,35.55,38.0608,-97.9298,few clouds,
339,Naco,MX,60.89,31.3347,-109.9483,scattered clouds,
340,Gadsden,US,50.23,34.0143,-86.0066,clear sky,
341,Dover,US,48.99,39.1582,-75.5244,clear sky,
342,Brenham,US,53.51,30.1669,-96.3977,overcast clouds,
343,Riverton,US,50.49,40.5219,-111.9391,clear sky,
344,Carbondale,US,32.0,37.7273,-89.2168,scattered clouds,
347,Leander,US,53.29,30.5788,-97.8531,clear sky,
348,Baton Rouge,US,52.12,30.4508,-91.1545,overcast clouds,
349,Cleburne,US,54.03,32.3476,-97.3867,clear sky,
350,Sun City West,US,74.23,33.662,-112.3413,scattered clouds,
351,Monclova,MX,45.05,26.9,-101.4167,overcast clouds,
352,Rodeo,US,67.24,38.033,-122.2669,clear sky,
353,Laredo,US,46.69,27.5064,-99.5075,overcast clouds,
354,Evansville,US,30.2,37.9748,-87.5558,overcast clouds,
355,Conyers,US,50.45,33.6676,-84.0177,clear sky,
356,Russellville,US,44.74,35.2784,-93.1338,clear sky,
357,Ruidoso,US,37.76,33.3317,-105.673,overcast clouds,
358,Rockingham,US,46.71,42.9668,-71.0995,broken clouds,
359,Kinston,US,55.58,35.2627,-77.5816,clear sky,
360,Galveston,US,55.36,29.3669,-94.9669,overcast clouds,
361,Rock Sound,BS,76.06,24.9,-76.2,clear sky,
362,Edgewater,US,70.03,28.9889,-80.9023,overcast clouds,
365,Fernley,US,59.86,39.608,-119.2518,broken clouds,
366,Enid,US,42.98,36.3956,-97.8784,clear sky,
367,Laramie,US,33.53,41.3114,-105.5911,clear sky,
368,Centralia,US,67.86,46.7162,-122.9543,clear sky,
369,Council Bluffs,US,27.32,41.2619,-95.8608,scattered clouds,
370,Ada,US,52.68,43.4166,-116.1262,clear sky,
371,General Cepeda,MX,45.07,25.3833,-101.45,overcast clouds,
372,Cullman,US,47.8,34.1748,-86.8436,clear sky,
373,Harrisonville,US,29.28,38.6533,-94.3488,overcast clouds,
374,Madera,US,68.09,37.1666,-119.8343,overcast clouds,
376,Lampazos De Naranjo,MX,45.32,27.0167,-100.5167,overcast clouds,
377,Elko,US,41.02,41.0002,-115.5012,clear sky,
378,Canon City,US,45.18,38.441,-105.2424,broken clouds,
379,Spring Hill,US,68.23,28.4769,-82.5255,broken clouds,
380,Canandaigua,US,30.33,42.8742,-77.288,overcast clouds,
381,Benjamin Hill,MX,71.64,30.1667,-111.1,broken clouds,
382,Lemoore,US,69.87,36.3008,-119.7829,clear sky,
383,Port Hueneme,US,73.36,34.1478,-119.1951,clear sky,
384,Moctezuma,MX,73.67,29.8,-109.6667,overcast clouds,
385,Williamsport,US,40.73,41.2412,-77.0011,broken clouds,
386,Cardinal,CA,32.32,44.7834,-75.3826,clear sky,
387,Syracuse,IT,48.31,37.0881,15.2792,few clouds,
388,Payson,US,48.04,40.0444,-111.7321,clear sky,
389,Oswego,US,32.92,43.4501,-76.1497,light snow,
390,Carlsbad,US,76.39,33.1581,-117.3506,clear sky,
391,Chalmette,US,54.0,29.9427,-89.9634,overcast clouds,
392,New Iberia,US,51.87,30.0035,-91.8187,overcast clouds,
393,Oro Valley,US,71.78,32.3909,-110.9665,broken clouds,
394,Chihuahua,MX,37.2,28.5,-106.0,overcast clouds,
395,Duncan,US,51.69,34.5023,-97.9578,clear sky,
396,Steamboat Springs,US,30.0,40.485,-106.8317,clear sky,
